UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	46
0	144
0	93
0	144
0	134
0	138
0	153
0	145
0	106
0	137
0	88
0	95
0	140
0	148
0	89
0	151
0	152
0	143
0	29
0	115
0	80
0	125
0	123
0	50
0	116
0	137
0	125
0	64
0	101
0	97
0	126
0	72
0	117
0	140
0	138
0	130
0	107
0	126
0	46
0	137
0	140
0	130
0	127
0	81
0	145
0	147
0	166
0	80
0	127
0	66
0	39
0	111
0	126
0	81
0	65
0	83
0	83
0	129
0	92
0	135
0	96
0	134
0	128
0	39
0	108
0	150
0	95
0	38
0	80
0	75
0	66
0	141
0	132
0	146
0	121
0	142
0	133
0	77
0	145
0	141
0	101
0	28
0	61
0	113
0	155
0	91
0	134
0	144
0	138
0	126
0	148
0	112
0	73
0	127
0	130
0	51
0	126
0	39
0	46
0	71
0	106
0	134
0	121
0	63
0	45
0	38
0	121
0	133
0	41
0	71
0	41
0	38
0	52
0	119
0	95
0	92
0	136
0	59
0	133
0	49
0	100
0	140
0	81
0	76
0	85
0	152
0	74
0	122
0	131
0	91
0	143
0	116
0	139
0	144
0	93
0	124
0	141
0	145
0	90
0	92
0	84
0	84
0	27
0	82
0	20
0	36
0	91
0	50
0	44
0	41
0	106
0	27
0	60
0	94
0	28
0	44
0	76
0	25
0	47
0	47
0	25
0	45
0	52
0	30
0	92
0	26
0	87
0	97
0	83
0	84
0	22
0	48
0	29
0	62
0	53
0	98
0	98
0	40
0	99
0	93
0	57
0	36
0	18
0	26
0	59
0	87
0	41
0	57
0	75
0	26
0	29
0	48
0	84
0	29
0	77
0	80
0	74
0	43
0	99
0	42
0	68
0	32
0	75
0	55
0	52
0	32
0	64
0	35
0	84
0	44
0	58
0	29
0	18
0	97
0	35
0	92
0	96
0	84
0	71
0	35
0	84
0	35
0	91
0	59
0	24
0	40
0	62
0	64
0	31
0	80
0	27
0	83
0	91
0	42
0	27
0	91
0	36
0	20
0	16
0	27
0	91
0	70
0	58
0	38
0	90
0	30
0	59
0	86
0	47
0	39
0	64
0	68
0	47
0	87
0	64
0	53
0	24
0	60
0	88
0	54
0	35
0	72
0	44
0	87
0	79
0	25
0	57
0	67
0	19
0	9
0	7
0	11
0	14
0	10
0	6
0	10
0	3
0	3
0	10
0	8
0	3
0	6
0	3
0	8
0	6
0	118
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	6
0	14
